Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,ContentLicense
"25","1","1443907","","2008-08-01 12:13:50","","164","13767","<p>I'm having issues getting the C sockets API to work properly in C++ on z/OS.</p>
<p>Although I am including <code>sys/socket.h</code>, I still get compile time errors telling me that <code>AF_INET</code> is not defined.</p>
<p>Am I missing something obvious, or is this related to the fact that being on z/OS makes my problems much more complicated?</p>
<p>I discovered that there is an <code>#ifdef</code> that I'm hitting. Apparently z/OS isn't happy unless I define which &quot;type&quot; of sockets I'm using with:</p>
<pre><code>#define _OE_SOCKETS
</code></pre>
<p>Now, I personally have no idea what this <code>_OE_SOCKETS</code> is actually for, so if any z/OS sockets programmers are out there (all 3 of you), perhaps you could give me a rundown of how this all works?</p>
<p>Test App</p>
<pre><code>#include &lt;sys/socket.h&gt;

int main()
{
    return AF_INET;
}
</code></pre>
<p>Compile/Link Output:</p>
<pre><code>cxx -Wc,xplink -Wl,xplink -o inet_test inet.C

&quot;./inet.C&quot;, line 5.16: CCN5274 (S) The name lookup for &quot;AF_INET&quot; did not find a declaration.
CCN0797(I) Compilation failed for file ./inet.C. Object file not created.
</code></pre>
<p>A check of sys/sockets.h does include the definition I need, and as far as I can tell, it is not being blocked by any <code>#ifdef</code> statements.</p>
<p>I have however noticed it contains the following:</p>
<pre><code>#ifdef __cplusplus
  extern &quot;C&quot; {
#endif
</code></pre>
<p>which encapsulates basically the whole file? Not sure if it matters.</p>
","23","","792066","user5857081","2020-12-02 17:23:58","2020-12-02 17:23:58","How to use the C socket API in C++ on z/OS","<c++><c><sockets><mainframe><zos>","9","0","10","","","CC BY-SA 4.0"
"34","1","","","2008-08-01 12:30:57","","93","10317","<p>How do I forcefully unload a <code>ByteArray</code> from memory using ActionScript 3?</p>

<p>I have tried the following:</p>

<pre><code>// First non-working solution
byteArray.length = 0;
byteArray = new ByteArray();

// Second non-working solution
for ( var i:int=0; i &lt; byteArray.length; i++ ) {
    byteArray[i] = null;
}
</code></pre>
","","maclema","792066","","2020-12-02 17:21:52","2020-12-02 17:21:52","How to unload a ByteArray using Actionscript 3?","<arrays><actionscript-3><apache-flex>","8","0","4","","","CC BY-SA 4.0"
"36","1","352","","2008-08-01 12:35:56","","146","64156","<p>How can I monitor an SQL Server database for changes to a table without using triggers or modifying the structure of the database in any way? My preferred programming environment is <a href=""http://en.wikipedia.org/wiki/.NET_Framework"" rel=""noreferrer"">.NET</a> and C#.</p>

<p>I'd like to be able to support any <a href=""http://en.wikipedia.org/wiki/Microsoft_SQL_Server#Genesis"" rel=""noreferrer"">SQL Server 2000</a> SP4 or newer. My application is a bolt-on data visualization for another company's product. Our customer base is in the thousands, so I don't want to have to put in requirements that we modify the third-party vendor's table at every installation.</p>

<p>By <em>""changes to a table""</em> I mean changes to table data, not changes to table structure.</p>

<p>Ultimately, I would like the change to trigger an event in my application, instead of having to check for changes at an interval.</p>

<hr>

<p>The best course of action given my requirements (no triggers or schema modification, SQL Server 2000 and 2005) seems to be to use the <code>BINARY_CHECKSUM</code> function in <a href=""http://en.wikipedia.org/wiki/Transact-SQL"" rel=""noreferrer"">T-SQL</a>. The way I plan to implement is this:</p>

<p>Every X seconds run the following query:</p>

<pre><code>SELECT CHECKSUM_AGG(BINARY_CHECKSUM(*))
FROM sample_table
WITH (NOLOCK);
</code></pre>

<p>And compare that against the stored value. If the value has changed, go through the table row by row using the query:</p>

<pre><code>SELECT row_id, BINARY_CHECKSUM(*)
FROM sample_table
WITH (NOLOCK);
</code></pre>

<p>And compare the returned checksums against stored values.</p>
","32","","2571493","Mark Harrison","2016-11-30 07:50:37","2019-05-14 16:40:50","Check for changes to an SQL Server table?","<sql><sql-server><datatable><rdbms>","8","2","28","","","CC BY-SA 3.0"
"39","1","45","","2008-08-01 12:43:11","","105","7127","<p>I am aware that in <a href=""http://en.wikipedia.org/wiki/.NET_Framework"" rel=""noreferrer"">.NET</a> there are three timer types (see <em><a href=""http://msdn.microsoft.com/en-us/magazine/cc164015.aspx"" rel=""noreferrer"">Comparing the Timer Classes in the .NET Framework Class Library</a></em>). I have chosen a threaded timer as the other types can drift if the main thread is busy, and I need this to be reliable.</p>

<p>The way this timer works in the control of the timer is put on another thread so it can always tick along with the work begin completed on the parent thread when it is not busy.</p>

<p>The issue with this timer in a console application is that while the timer is ticking along on another thread the main thread is not doing anything to the application closes.</p>

<p>I tried adding a <code>while true</code> loop, but then the main thread is too busy when the timer does go off.</p>
","33","","567854","Jim Anderson","2019-01-20 13:50:37","2020-12-10 16:48:40","Reliable timer in a console application","<c#><.net><vb.net><timer>","3","0","5","","","CC BY-SA 4.0"
"42","1","77","","2008-08-01 12:50:18","","282","37789","<p>I am starting a new web application in PHP and this time around I want to create something that people can extend by using a plugin interface. </p>

<p>How does one go about writing 'hooks' into their code so that plugins can attach to specific events?</p>
","37","","4595675","Vaibhav","2015-12-14 20:05:51","2020-02-27 07:45:37","Best way to allow plugins for a PHP application","<php><plugins><architecture><hook>","8","0","116","","","CC BY-SA 3.0"
"48","1","31910","","2008-08-01 13:01:17","","272","225844","<p>Let's say you create a wizard in an HTML form. One button goes back, and one goes forward. Since the <em>back</em> button appears first in the markup when you press <kbd>Enter</kbd>, it will use that button to submit the form.</p>

<p>Example:</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;form&gt;
  &lt;!-- Put your cursor in this field and press Enter --&gt;
  &lt;input type=""text"" name=""field1"" /&gt;

  &lt;!-- This is the button that will submit --&gt;
  &lt;input type=""submit"" name=""prev"" value=""Previous Page"" /&gt;

  &lt;!-- But this is the button that I WANT to submit --&gt;
  &lt;input type=""submit"" name=""next"" value=""Next Page"" /&gt;
&lt;/form&gt;</code></pre>
</div>
</div>
</p>

<p>I would like to get to decide which button is used to submit the form when a user presses <kbd>Enter</kbd>. That way, when you press <kbd>Enter</kbd> the wizard will move to the next page, not the previous. Do you have to use <code>tabindex</code> to do this?</p>
","40","","63550","kevin d","2019-07-14 14:18:39","2020-12-10 17:29:56","Multiple submit buttons in an HTML form","<html><forms><form-submit><submit-button>","24","1","35","","","CC BY-SA 4.0"
"59","1","43110","","2008-08-01 13:14:33","","107","25473","<p>I have a <code>DataTable</code> with a <code>Name</code> column. I want to generate a collection of the unique names ordered alphabetically. The following query ignores the <em>order by</em> clause.</p>

<pre><code>var names =
    (from DataRow dr in dataTable.Rows
    orderby (string)dr[""Name""]
    select (string)dr[""Name""]).Distinct();
</code></pre>

<p>Why does the <code>orderby</code> not get enforced?</p>
","45","","3919949","Keith","2018-01-30 16:56:45","2019-09-30 08:49:44","How do I get a distinct, ordered list of names from a DataTable using LINQ?","<c#><linq><.net-3.5>","7","0","4","","","CC BY-SA 3.0"
"61","1","","","2008-08-01 13:17:20","","49","3491","<p>Where can I find a list of all of the MIME types and the identifying characters for <strong>Microsoft Office 2007</strong> files?</p>

<p>I have an upload form that is restricting uploads based on the extensions and identifying characters, but I cannot seem to find the <strong>Office 2007 MIME</strong> types.</p>

<p>Can anyone help?</p>
","","maclema","5044304","user8529958","2019-12-16 11:47:55","2019-12-16 11:47:55","Microsoft Office 2007 file type, Mime types and identifying characters","<mime><file-type><office-2007>","1","0","3","","2013-04-11 20:15:23","CC BY-SA 4.0"
"66","1","4521","","2008-08-01 13:20:46","","86","5202","<p>How do you page through a collection in LINQ given that you have a <code>startIndex</code> and a <code>count</code>?</p>
","17","","1039608","Keith","2012-05-04 09:03:54","2018-04-08 18:47:49","Paging a collection with LINQ","<linq><.net-3.5>","4","0","7","","","CC BY-SA 3.0"
"72","1","","","2008-08-01 13:38:27","","47","1802","<p>I want to format my existing comments as 'RDoc comments' so they can be viewed using <code>ri</code>.</p>

<p>What are some recommended resources for starting out using RDoc?</p>
","25","","2909897","Gaius","2016-12-30 06:56:18","2016-12-30 06:56:18","How do I add existing comments to RDoc in Ruby?","<ruby><rdoc>","2","1","2","2017-04-20 07:24:44","","CC BY-SA 3.0"
"79","1","62853","","2008-08-01 13:56:33","","48","11135","<p>The version of <strong>Subclipse (1.2.4)</strong> currently available through Aptana's automatic <em>Plugins Manager</em> does not work with the newest version of Subversion.</p>

<p>I see on the Subclipse website however that they have 1.4.2 out for Eclipse. So I added a <a href=""http://subclipse.tigris.org/update_1.4.x"" rel=""noreferrer"">new remote update site</a> to my Update manager. When I tried to install it, it told me I needed <strong>Mylyn 3.0.0</strong>. So after much searching I found Mylyn 3.0.0 and added <a href=""http://download.eclipse.org/tools/mylyn/update/e3.3"" rel=""noreferrer"">another new remote update site</a> to my update manager. Then when I tried to install that, it told me I needed <strong>org.eclipse.ui 3.3.0</strong> or equivalent.</p>

<p>Looking at the configuration details for Aptana, it looks like it is built against eclipse 3.2.2.</p>

<p>Does anyone know if there is a way to upgrade the version of Eclipse Aptana that is built against to 3.3.0? Or if there is some other way to get Subclipse to work with the very newest version of Subversion?</p>

<p>I know this isn't necessarily a ""programming"" question, but I hope it's ok since it's highly relevant to the programming experience.</p>
","58","Christopher McCulloh","415755","Gaius","2016-03-10 03:47:08","2016-03-10 03:47:08","Getting Subclipse in Aptana to work with the newest release of Subversion","<eclipse><svn><aptana><subclipse>","4","0","3","","","CC BY-SA 3.0"
"80","1","124","","2008-08-01 13:57:07","","50","5945","<p>I've written a database generation script in <a href=""http://en.wikipedia.org/wiki/SQL"" rel=""noreferrer"">SQL</a> and want to execute it in my <a href=""http://en.wikipedia.org/wiki/Adobe_Integrated_Runtime"" rel=""noreferrer"">Adobe AIR</a> application:</p>

<pre><code>Create Table tRole (
    roleID integer Primary Key
    ,roleName varchar(40)
);
Create Table tFile (
    fileID integer Primary Key
    ,fileName varchar(50)
    ,fileDescription varchar(500)
    ,thumbnailID integer
    ,fileFormatID integer
    ,categoryID integer
    ,isFavorite boolean
    ,dateAdded date
    ,globalAccessCount integer
    ,lastAccessTime date
    ,downloadComplete boolean
    ,isNew boolean
    ,isSpotlight boolean
    ,duration varchar(30)
);
Create Table tCategory (
    categoryID integer Primary Key
    ,categoryName varchar(50)
    ,parent_categoryID integer
);
...
</code></pre>

<p>I execute this in Adobe AIR using the following methods:</p>

<pre><code>public static function RunSqlFromFile(fileName:String):void {
    var file:File = File.applicationDirectory.resolvePath(fileName);
    var stream:FileStream = new FileStream();
    stream.open(file, FileMode.READ)
    var strSql:String = stream.readUTFBytes(stream.bytesAvailable);
    NonQuery(strSql);
}

public static function NonQuery(strSQL:String):void {
    var sqlConnection:SQLConnection = new SQLConnection();
    sqlConnection.open(File.applicationStorageDirectory.resolvePath(DBPATH));
    var sqlStatement:SQLStatement = new SQLStatement();
    sqlStatement.text = strSQL;
    sqlStatement.sqlConnection = sqlConnection;
    try {
        sqlStatement.execute();
    } catch (error:SQLError) {
        Alert.show(error.toString());
    }
}
</code></pre>

<p>No errors are generated, however only <code>tRole</code> exists. It seems that it only looks at the first query (up to the semicolon- if I remove it, the query fails). Is there a way to call multiple queries in one statement?</p>
","26","","3641067","modesty","2017-04-28 13:42:44","2018-08-27 01:12:05","SQLStatement.execute() - multiple queries in one statement","<apache-flex><actionscript-3><air>","3","0","4","","","CC BY-SA 3.0"
"85","1","154","","2008-08-01 14:19:52","","126","61236","<p>What are the best practices around creating flat file database structures in PHP?</p>

<p>A lot of more matured PHP flat file frameworks out there which I attempt to implement SQL-like query syntax which is over the top for my purposes in most cases. (I would just use a database at that point).</p>

<p>Are there any elegant tricks out there to get good performance and features with a small code overhead?</p>
","59","","3511917","saint_groceon","2019-11-08 09:37:38","2020-10-13 03:22:03","Flat file databases","<php><sql><database><flat-file>","11","2","25","2015-10-22 13:43:51","","CC BY-SA 4.0"
"88","1","98","","2008-08-01 14:36:18","","100","42036","<p>I am porting a game, that was originally written for the Win32 API, to Linux (well, porting the OS X port of the Win32 port to Linux).</p>

<p>I have implemented <code>QueryPerformanceCounter</code> by giving the uSeconds since the process start up:     </p>

<pre><code>BOOL QueryPerformanceCounter(LARGE_INTEGER* performanceCount)
{
    gettimeofday(&amp;currentTimeVal, NULL);
    performanceCount-&gt;QuadPart = (currentTimeVal.tv_sec - startTimeVal.tv_sec);
    performanceCount-&gt;QuadPart *= (1000 * 1000);
    performanceCount-&gt;QuadPart += (currentTimeVal.tv_usec - startTimeVal.tv_usec);

    return true;
}
</code></pre>

<p>This, coupled with <code>QueryPerformanceFrequency()</code> giving a constant 1000000 as the frequency, works well <b>on my machine</b>, giving me a 64-bit variable that contains <code>uSeconds</code> since the program's start-up.</p>

<p>So <em>is this portable?</em> I don't want to discover it works differently if the kernel was compiled in a certain way or anything like that. I am fine with it being non-portable to something other than Linux, however.</p>
","61","","7014431","user1645055","2020-02-24 11:08:48","2020-02-24 11:08:48","Is gettimeofday() guaranteed to be of microsecond resolution?","<linux><winapi><visual-c++><unix><timer>","10","0","21","","","CC BY-SA 4.0"
"90","1","1466832","","2008-08-01 14:41:24","","164","55843","<p>How do you <a href=""http://svnbook.red-bean.com/en/1.8/svn.branchmerge.html"" rel=""noreferrer"">branch and merge</a> with Apache Subversion using the TortoiseSVN client? </p>
","58","Christopher McCulloh","58","Gaius","2017-08-24 17:01:23","2017-08-24 17:01:23","How do you branch and merge with TortoiseSVN?","<svn><tortoisesvn><branch><branching-and-merging>","3","0","92","2012-12-26 03:45:49","","CC BY-SA 3.0"
"104","1","112","","2008-08-01 15:12:34","","176","13478","<p>In .NET perspective:</p>

<ul>
<li>What is a <a href=""https://en.wikipedia.org/wiki/Memory_leak"" rel=""noreferrer"">memory leak</a>?</li>
<li>How can you determine whether your application leaks? What are the effects?</li>
<li>How can you prevent a memory leak?</li>
<li>If your application has memory leak, does it go away when the process exits or is killed? Or do memory leaks in your application affect other processes on the system even after process completion?</li>
<li>And what about unmanaged code accessed via COM Interop and/or P/Invoke?</li>
</ul>
","39","","6296561","user1645055","2018-06-08 15:37:29","2018-06-08 15:37:29","Anatomy of a ""Memory Leak""","<.net><performance><memory-leaks><com-interop>","15","0","69","","","CC BY-SA 4.0"
"108","1","111","","2008-08-01 15:22:29","","48","15940","<p>I've been using <a href=""https://web.archive.org/web/20200229173754/http://tortoisesvn.tigris.org/"" rel=""nofollow noreferrer"">TortoiseSVN </a> in a Windows environment for quite some time.  It seems very feature-complete and nicely integrated into the Windows shell, and more importantly, it's fairly painless to teach to colleagues with little or no experience with source control.  <strong>However</strong>, since we have moved to Windows Vista 64bit, Tortoise has been very buggy and has seemed to cause lots of explorer.exe abnormalities and crashes.  This has happened both with older versions of the software and the latest version (1.5.1 build 13563).</p>

<p>I was curious if anyone has suggestions for other Subversion clients that will run on Windows (specifically Vista 64bit).  Developers here use a variety of text editors so using Visual Studio or Dreamweaver for SVN is not ideal.</p>

<p>I have heard great things about <a href=""http://www.zennaware.com/cornerstone/"" rel=""nofollow noreferrer"">Cornerstone</a>, and would love something similar for Windows if it exists.</p>

<hr>

<p>I'm correlating the Vista/explorer problems with Tortoise because they normally occur when I'm using the functionality in Tortoise.  Sometimes bringing up the ""merge"" screen will cause the GUI to start acting very strange and eventually hang or crash.</p>

<p>I did not see 1.5.2 -- I'm installing now, maybe that will fix some of my issues.</p>
","72","","11262648","Adam Mitz","2020-05-25 17:18:11","2020-05-25 17:18:11","Best Subversion clients for Windows Vista (64bit)","<windows><svn><64-bit>","8","0","3","2012-08-15 19:45:13","","CC BY-SA 4.0"
"109","1","2585","","2008-08-01 15:23:05","","65","5533","<p>Recently our site has been deluged with the resurgence of the <a href=""https://en.wikipedia.org/wiki/Asprox_botnet"" rel=""noreferrer"">Asprox botnet</a> <a href=""http://en.wikipedia.org/wiki/SQL_injection"" rel=""noreferrer"">SQL injection</a> attack. Without going into details, the attack attempts to execute SQL code by encoding the <a href=""http://en.wikipedia.org/wiki/Transact-SQL"" rel=""noreferrer"">T-SQL</a> commands in an ASCII encoded BINARY string. It looks something like this:</p>

<pre><code>DECLARE%20@S%20NVARCHAR(4000);SET%20@S=CAST(0x44004500...06F007200%20AS%20NVARCHAR(4000));EXEC(@S);--
</code></pre>

<p>I was able to decode this in SQL, but I was a little wary of doing this since I didn't know exactly what was happening at the time.</p>

<p>I tried to write a simple decode tool, so I could decode this type of text without even touching <a href=""http://en.wikipedia.org/wiki/Microsoft_SQL_Server"" rel=""noreferrer"">SQL&nbsp; Server</a>. The main part I need to be decoded is:</p>

<pre><code>CAST(0x44004500...06F007200 AS
NVARCHAR(4000))
</code></pre>

<p>I've tried all of the following commands with no luck:</p>

<pre><code>txtDecodedText.Text =
    System.Web.HttpUtility.UrlDecode(txtURLText.Text);
txtDecodedText.Text =
    Encoding.ASCII.GetString(Encoding.ASCII.GetBytes(txtURLText.Text));
txtDecodedText.Text =
    Encoding.Unicode.GetString(Encoding.Unicode.GetBytes(txtURLText.Text));
txtDecodedText.Text =
    Encoding.ASCII.GetString(Encoding.Unicode.GetBytes(txtURLText.Text));
txtDecodedText.Text =
    Encoding.Unicode.GetString(Convert.FromBase64String(txtURLText.Text));
</code></pre>

<p>What is the proper way to translate this encoding without using SQL Server? Is it possible? I'll take VB.NET code since I'm familiar with that too.</p>

<hr>

<p>Okay, I'm sure I'm missing something here, so here's where I'm at.</p>

<p>Since my input is a basic string, I started with just a snippet of the encoded portion - 4445434C41 (which translates to DECLA) - and the first attempt was to do this...</p>

<pre><code>txtDecodedText.Text = Encoding.UTF8.GetString(Encoding.UTF8.GetBytes(txtURL.Text));
</code></pre>

<p>...and all it did was return the exact same thing that I put in since it converted each character into is a byte.</p>

<p>I realized that I need to parse every two characters into a byte manually since I don't know of any methods yet that will do that, so now my little decoder looks something like this:</p>

<pre><code>while (!boolIsDone)
{
    bytURLChar = byte.Parse(txtURLText.Text.Substring(intParseIndex, 2));
    bytURL[intURLIndex] = bytURLChar;
    intParseIndex += 2;
    intURLIndex++;

    if (txtURLText.Text.Length - intParseIndex &lt; 2)
    {
        boolIsDone = true;
    }
}

txtDecodedText.Text = Encoding.UTF8.GetString(bytURL);
</code></pre>

<p>Things look good for the first couple of pairs, but then the loop balks when it gets to the ""4C"" pair and says that the string is in the incorrect format.</p>

<p>Interestingly enough, when I step through the debugger and to the GetString method on the byte array that I was able to parse up to that point, I get "",-+"" as the result.</p>

<p>How do I figure out what I'm missing - do I need to do a ""direct cast"" for each byte instead of attempting to parse it?</p>
","71","","567854","Jeff Atwood","2019-01-20 13:49:56","2019-02-10 22:11:00","Decoding T-SQL CAST in C#/VB.NET","<c#><sql><vb.net><ascii><hex>","2","3","2","","","CC BY-SA 4.0"
